APN,PROJECT NUMBER,NAME,DEVELOPMENT STAGE,CONSTRUCTION TYPE,SITE ADDRESS,SITE  COUNCIL DISTRICT,SITE #,SITE COMMUNITY,SITE UNITS,PROJECT TOTAL UNITS,HOUSING TYPE,SUPPORTIVE HOUSING,SH UNITS PER SITE,DATE FUNDED,LAHD FUNDED,LEVERAGE,TAX EXEMPT CONDUIT BOND,TDC,IN-SERVICE DATE,DEVELOPER,MANAGEMENT COMPANY,CONTACT PHONE,PHOTO,JOBS,PROJECT SUMMARY URL,CONTRACT NUMBERS,DATE STAMP,SITE LONGITUDE,SITE LATITUDE,GPS_COORDS ON MAP
5128015021,09-117212,THE CROSSING ON 29TH ST.,In-Service,NEW CONSTRUCTION,"814 E 29TH ST  Los Angeles, CA 90011",9,1,CENTRAL,34,34,FAMILY,No,0,08/30/2010,"3,262,880","17,610,140",0,"20,873,020",2012,"UHC LA 29, L.P.",HYDER PROPERTY MANAGEMENT PROFESSIONALS,(760) 591-9737,click here (http://hcidapp.lacity.org/mpphotos/09-117212/Photo/Website/crossingat29thgo12612_031-.png),121,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=09-117212&LutSiteCD=1),C-117803,7/5/2023,-118.26081,34.01762,POINT (-118.26081 34.01762)
5154026023,111,HISTORIC BARBIZON HOTEL APTS.,In-Service,REHAB,"1927 W 6TH ST 1-51  Los Angeles, CA 90057",1,1,WESTLAKE,51,51,FAMILY,No,0,06/27/2007,"5,009,394","13,935,814",0,"18,945,208",2007,"NEIGHBORHOOD EFFORT,",THE EBERLY COMPANY,(323) 937-6468,click here (http://hcidapp.lacity.org/mpphotos/000111/Photo/Website/CD_1_-_Barbizon_Hotel.png),47,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=000111&LutSiteCD=1),C-101408,7/5/2023,-118.27323,34.05898,POINT (-118.27323 34.05898)
5157025049,21-128247,LUCENA ON COURT (PK COURT ST),Development,NEW CONSTRUCTION,1919 W COURT ST CA 90026,13,1,HISTORIC FILIPINOTOWN,46,46,FAMILY,No,0,04/08/2022,0,0,0,0,Development,"Meta Development, LLC",WSH MANAGEMENT,(949) 748-8201,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=21-128247&LutSiteCD=1),,7/5/2023,-118.26622,34.06865,POINT (-118.26622 34.06865)
5131020009,05-117217,LEXINGTON APARTMENTS A/B (SITE 11),In-Service,REHAB,"1145 E 24TH ST  Los Angeles, CA 90011",9,11,CENTRAL,0,251,FAMILY,No,0,12/28/2005,0,"6,771,719","10,247,566","17,019,285",2006,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117217&LutSiteCD=11),,7/5/2023,-118.25561,34.02133,POINT (-118.25561 34.02133)
5547016909,18-125463,HOLLYWOOD ARTS COLLECTIVE,In-Service,NEW CONSTRUCTION,"1630 N SCHRADER BLVD  HOLLYWOOD, CA 90028",13,1,HOLLYWOOD,152,152,FAMILY,No,0,12/01/2020,"5,850,460","88,669,673",0,"94,520,133",2023,"Thomas Safran & Associates Development, Inc.","THOMAS SAFRAN & ASSOCIATES, INC.",(310) 820-4888,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125463&LutSiteCD=1),C-137458,7/5/2023,-118.33236,34.10084,POINT (-118.33236 34.10084)
5072034028,14-121637,ARLINGTON SQUARE,In-Service,NEW CONSTRUCTION,"3101 W VENICE BLVD  Los Angeles, CA 90019",10,1,VICTORIA PARK,48,48,SPECIAL NEEDS,Yes,47,12/01/2015,"3,877,600","14,111,118",0,"17,988,718",2017,A COMMUNITY OF FRIENDS,BARKER MANAGEMENT INC.,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/14-121637/Photo/Website/150_2872.png),143,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121637&LutSiteCD=1),C-126699,7/5/2023,-118.31795,34.04375,POINT (-118.31795 34.04375)
7417010900,16-123033,VISTA DEL MAR,In-Service,NEW CONSTRUCTION,"1116 W D ST  Wilmington, CA 90744",15,1,WILMINGTON,88,88,FAMILY,No,0,08/29/2016,0,"18,205,813","18,068,000","36,273,813",2018,Abode Communities,ABODE COMMUNITIES,(213) 629-2702,click here (http://hcidapp.lacity.org/mpphotos/16-123033/Photo/Website/Lot%208.JPG),405,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=16-123033&LutSiteCD=1),,7/5/2023,-118.27463,33.77336,POINT (-118.27463 33.77336)
5131026028,70018,ADAMS AND CENTRAL MIX-USE,In-Service,NEW CONSTRUCTION,"1011 E ADAMS BLVD 1-80  Los Angeles, CA 90011",9,1,CENTRAL,80,80,FAMILY,No,0,06/17/2008,"5,788,800","25,260,320",0,"31,049,120",2010,"META HOUSING CORPORATION,",META HOUSING CORPORATION,(310) 575-3543,click here (http://hcidapp.lacity.org/mpphotos/070018/Photo/Website/CD%209%20-%20Adams%20&%20Central%20Mixed.jpg),281,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=070018&LutSiteCD=1),C-113833,7/5/2023,-118.25496,34.0193,POINT (-118.25496 34.0193)
2745001012,19-126525,LUMINA (FKA TOPANGA APARTMENTS),Development,NEW CONSTRUCTION,"10243 N TOPANGA CANYON BLVD  Chatsworth, CA 91311",12,1,CHATSWORTH,55,55,SPECIAL NEEDS,Yes,54,12/16/2021,"7,560,000","20,018,807","3,880,315","31,459,122",Development,"Affirmed Housing Group, Inc.","SOLARI ENTERPRISES, INC.",(714) 282-2520,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),287,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-126525&LutSiteCD=1),C-139625,7/5/2023,-118.60639,34.25674,POINT (-118.60639 34.25674)
5067008008,06-117222,WINDWARD APTS (A/B) (SITE 4),In-Service,REHAB,"4817 W SATURN ST  Los Angeles, CA 90019",10,4,ST ELMO VILLAGE,6,232,FAMILY,No,0,04/01/2006,0,"7,438,473","4,641,342","12,079,815",2007,1755 EFM 2,"ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117222&LutSiteCD=4),,7/5/2023,-118.34217,34.04429,POINT (-118.34217 34.04429)
5056012007,80053,PROFESSIONAL HSG. & DEV. APTS. (PH & D) (SITE 5),In-Service,REHAB,"1810 S MAGNOLIA AVE  Los Angeles, CA 90006",1,5,PICO-UNION,0,83,FAMILY,No,0,10/07/2010,"4,575,000","10,250,907",0,"14,825,907",2011,Gubb and Barshay,LITTLE TOKYO SERVICE CENTER,(213) 434-1645,click here (http://hcidapp.lacity.org/mpphotos/080053/Photo/Website%20Site5/PH&D%201810%20Magnolia.jpg),45,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080053&LutSiteCD=5),C-117961,7/5/2023,-118.28624,34.04098,POINT (-118.28624 34.04098)
5115018900,11-117837,DUNBAR VILLAGE (SITE 3),In-Service,ACQUISITION + REHAB,"4251 S CENTRAL AVE  Los Angeles, CA 90011",9,3,VERNON CENTRAL,18,83,FAMILY,No,0,07/06/2011,"12,019,660","17,563,532",0,"29,583,192",2013,THOMAS SAFRAN & ASSOCIATES,THOMAS SAFRAN & ASSOCIATES,(310) 820-4888,click here (http://hcidapp.lacity.org/mpphotos/11-117837/Photo/Website%20Site3/Dunbar2[1].jpg),215,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-117837&LutSiteCD=3),"C-119063,C-123799",7/5/2023,-118.25669,34.00649,POINT (-118.25669 34.00649)
2218023009,12-119044,HAZELTINE & WYANDOTTE (SITE 2),In-Service,ACQUISITION + REHAB,"14630 W WYANDOTTE ST  VAN NUYS, CA 91405",6,2,VAN NUYS,73,108,FAMILY,No,0,12/02/2013,0,"8,271,924","10,381,000","18,652,924",2014,"INSITE DEVELOPMENT, LLC",IRONWOOD COMPANY,(818) 789-5550,click here (http://hcidapp.lacity.org/mpphotos/12-119044/Photo/Website%20Site2/150_1643.png),41,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=12-119044&LutSiteCD=2),,7/5/2023,-118.45222,34.20289,POINT (-118.45222 34.20289)
5110027025,10113,BROADWAY VILLAGE II,In-Service,NEW CONSTRUCTION,"5101 S BROADWAY 1-50  Los Angeles, CA 90037",9,1,SOUTH PARK,50,50,FAMILY,No,0,09/22/2003,"1,987,378","10,017,311",0,"12,004,689",2007,"BEYOND SHELTER HOUSING,","WNC & ASSOCIATES, INC.",(213) 251-2111,click here (http://hcidapp.lacity.org/mpphotos/010113/Photo/Website/CD_9_-_Broadway_Village_II_-_010113[1].png),53,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=010113&LutSiteCD=1),C-105686,7/5/2023,-118.27895,33.99634,POINT (-118.27895 33.99634)
5153024008,18-124748,HARTFORD VILLA APARTMENTS (SITE 2),In-Service,NEW CONSTRUCTION,"459 S HARTFORD AVE 1-60  LOS ANGELES, CA 90017",1,2,WESTLAKE,0,101,SPECIAL NEEDS,Yes,0,11/08/2018,"15,637,664","32,502,500",0,"48,140,164",2021,Single Room Occupancy Housing Corporation,SINGLE ROOM OCCUPANCY HOUSING CORPORATION,(213) 229-9640,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),404,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124748&LutSiteCD=2),"C-132337,C-132338",7/5/2023,-118.26381,34.05708,POINT (-118.26381 34.05708)
5051015008,06-117222,WINDWARD APTS (A/B) (SITE 9),In-Service,REHAB,"3922 W 27TH ST  Los Angeles, CA 90018",10,9,WEST ADAMS,10,232,FAMILY,No,0,04/01/2006,0,"7,438,473","4,641,342","12,079,815",2007,1755 EFM 2,"ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117222&LutSiteCD=9),,7/5/2023,-118.32793,34.03141,POINT (-118.32793 34.03141)
5502018025,10-117548,NORMANDIE TERRACE APARTMENT HOMES,In-Service,NEW CONSTRUCTION,"540 S NORMANDIE AVE 1-66  Los Angeles, CA 90020",10,1,KOREATOWN,66,66,FAMILY,No,0,04/08/2011,"3,200,000","25,449,746",0,"28,649,746",2012,"AMERICAN COMMUNITIES, LLC",THE JOHN STEWART COMPANY,(213) 787-2722,click here (http://hcidapp.lacity.org/mpphotos/10-117548/Photo/Website/10-117548.JPG),196,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=10-117548&LutSiteCD=1),C-118711,7/5/2023,-118.30015,34.06411,POINT (-118.30015 34.06411)
5504022026,15-122419,HANCOCK GARDENS,In-Service,ACQUISITION + REHAB,"303 S VAN NESS AVE  Los Angeles, CA 90020",13,1,HANCOCK PARK,66,66,SENIORS,No,0,04/08/2016,0,"26,719,608",0,"26,719,608",2017,"THOMAS SAFRAN & ASSOCIATES, Inc",THOMAS SAFRAN & ASSOCIATES INC,(310) 820 x4888,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122419&LutSiteCD=1),,7/5/2023,-118.3153,34.06874,POINT (-118.3153 34.06874)
5051006016,18-124722,PATH VILLAS MONTCLAIR/GRAMERCY(NEW-SITE 1 OF 2),In-Service,NEW CONSTRUCTION,"4220 W MONT CLAIR ST  Los Angeles, CA 90018",10,1,CRENSHAW DISTRICT,46,46,SPECIAL NEEDS,Yes,45,12/26/2019,"9,900,000","24,772,630","2,937,000","37,609,630",2022,PATH Ventures,THE JOHN STEWART COMPANY,(213) 833-1860,click here (http://hcidapp.lacity.org/mpphotos/18-124722/Photo/Website/Path%20montclair.JPG),234,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124722&LutSiteCD=1),C-134770,7/5/2023,-118.33221,34.03164,POINT (-118.33221 34.03164)
5183009904,19-125942,LOS LIRIOS APARTMENTS,Development,N/A,"119 S SOTO ST  Los Angeles, CA 90033",14,1,BOYLE HEIGHTS,64,64,N/A,Yes,20,12/08/2021,"7,775,000","42,981,390",0,"50,756,390",Development,BRIDGE Housing Corporation,JOHN STEWART COMPANY,(213) 787-2700,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),365,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-125942&LutSiteCD=1),"C-139571,C-139572",7/5/2023,-118.21029,34.04325,POINT (-118.21029 34.04325)
2532017068,11-117796,OSBORNE STREET APARTMENTS,In-Service,NEW CONSTRUCTION,"12059 W OSBORNE ST  Sylmar, CA 91331",7,1,LAKEVIEW TERRACE,60,60,FAMILY,Yes,5,03/08/2012,"3,805,976","15,063,116",0,"18,869,092",2013,"RELATED CALIFORNIA URBAN HOUSING, LLC",RELATED MANAGEMENT CO.,(949) 660-390,click here (http://hcidapp.lacity.org/mpphotos/11-117796/Photo/Website/11-117796.JPG),144,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-117796&LutSiteCD=1),C-120204,7/5/2023,-118.39505,34.27294,POINT (-118.39505 34.27294)
5544010027,80004,HOLLYWOOD BUNGALOW COURTS,In-Service,ACQUISITION + REHAB,"1721 N KINGSLEY DR  LOS ANGELES, CA 90027",4,1,THAI TOWN,10,42,FAMILY,Yes,0,11/20/2008,"4,390,000","17,823,840",0,"22,213,840",2010,"HOLLYWOOD COMMUNITY HOUSING CORP.,",BARKER MANAGEMENT INCORPORATED,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/080004/Photo/Website/CD%2014%20-%20Hollywood%20Bungalows%20-%201721%20Kingsley.jpg),104,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080004&LutSiteCD=1),C-114816,7/5/2023,-118.30363,34.10262,POINT (-118.30363 34.10262)
5156018011,20093,ST. ANNE'S TRANSITIONAL HOUSING,In-Service,N/A,"155 N OCCIDENTAL BLVD  Los Angeles, CA 90026",13,1,HISTORIC FILIPINOTOWN,40,40,N/A,No,0,02/24/2004,"2,000,000","8,758,249",0,"10,758,249",2005,"ST. ANNE'S TRANSITIONAL HOUSING,",N/A,N/A,click here (http://hcidapp.lacity.org/mpphotos/020093/Photo/Website/CD_13_-_St._Anne's_Transitional%202.png),65,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=020093&LutSiteCD=1),C-106308,7/5/2023,-118.27993,34.07238,POINT (-118.27993 34.07238)
5046001021,15-122533,CRENSHAW GARDENS,In-Service,NEW CONSTRUCTION,"3411 S CRENSHAW BLVD  Los Angeles, CA 90016",10,1,CRENSHAW DISTRICT,49,49,FAMILY,No,0,11/30/2016,"6,875,000","21,899,538",0,"28,774,538",2018,Retirement Housing Foundation,"FOUNDATION PROPERTY MANAGEMENT, INC.",(562) 257-5100,click here (http://hcidapp.lacity.org/mpphotos/15-122533/Photo/Website/P8120404.JPG),229,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122533&LutSiteCD=1),"C-126984,C-128618,C-131478",7/5/2023,-118.33529,34.02508,POINT (-118.33529 34.02508)
4305014900,15-122532,PICO ROBERTSON SENIOR COMMUNITY,In-Service,NEW CONSTRUCTION,"8866 W PICO BLVD  LOS ANGELES, CA 90035",5,1,CRESTVIEW,48,48,SENIORS,Yes,12,12/01/2017,"2,789,400","29,121,194",0,"31,910,594",2020,Mercy Housing California,MERCY HOUSING MANAGEMENT GROUP,(415) 355-7124,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),244,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122532&LutSiteCD=1),C-130530,7/5/2023,-118.38517,34.05485,POINT (-118.38517 34.05485)
2629019017,40052,PALM VILLAGE SR,In-Service,NEW CONSTRUCTION,"9034 N LAUREL CANYON BLVD  Sun Valley, CA 91352",6,1,SUN VALLEY,60,60,SENIORS,No,0,10/02/2006,"1,772,385","8,934,200",0,"10,706,585",2008,Gubb and Barshay,LTSC COMMUNITY DEVELOPMENT CORPORATION,(213) 473-1689,click here (http://hcidapp.lacity.org/mpphotos/040052/Photo/Website/CD_6_-_Palm_Village_Apts[1].png),65,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=040052&LutSiteCD=1),C-110660,7/5/2023,-118.40457,34.23397,POINT (-118.40457 34.23397)
5119003002,19-126539,CENTRAL APARTMENTS,Development,NEW CONSTRUCTION,"2106 S CENTRAL AVE  Los Angeles, CA 90011",9,1,CENTRAL,57,57,SPECIAL NEEDS,Yes,56,02/24/2022,"7,840,000",0,0,"7,840,000",Development,"Highridge Costa Development Company, LLC",FPI MANAGEMENT,(714) 641-5110,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),285,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-126539&LutSiteCD=1),C-139922,7/5/2023,-118.25248,34.02211,POINT (-118.25248 34.02211)
7449014006,20-127587,BEACON LANDING (FKA BEACON PSH),Development,NEW CONSTRUCTION,"319 N BEACON ST  SAN PEDRO, CA 90731",15,1,SAN PEDRO,89,89,SPECIAL NEEDS,Yes,88,02/04/2022,"8,555,556",0,0,"8,555,556",Development,Abode Communities,ABODE COMMUNITIES,(213) 225-2866,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=20-127587&LutSiteCD=1),C-139850,7/5/2023,-118.28055,33.74559,POINT (-118.28055 33.74559)
5544025033,60057,BRICKER,In-Service,ACQUISITION + REHAB,"1671 N WESTERN AVE  Los Angeles, CA 90027",13,1,HOLLYWOOD,16,16,SENIORS,No,0,02/24/2007,"627,878","6,465,419",0,"7,093,297",2011,"ADVANCED BUSINESS SOLUTIONS, LLC",BARKER MANAGEMENT INCORPORATED,(714) 553-3450,click here (http://hcidapp.lacity.org/mpphotos/060057/Photo/Website/060057.JPG),14,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=060057&LutSiteCD=1),C-111304,7/5/2023,-118.30957,34.10127,POINT (-118.30957 34.10127)
2237006018,19-125929,VILLA VANOWEN FKA CONFIANZA - 14154 VANOWEN ST.,Development,NEW CONSTRUCTION,"14142 W VANOWEN ST  VAN NUYS, CA 91405",2,1,VAN NUYS,64,64,SPECIAL NEEDS,Yes,63,06/02/2023,0,0,0,0,Development,"Century Affordable Development, Inc.",THE JOHN STEWART COMPANY,(213) 787-2700,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),354,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-125929&LutSiteCD=1),,7/5/2023,-118.44154,34.19379,POINT (-118.44154 34.19379)
5143020024,18-125047,INGRAHAM VILLA APARTMENTS,In-Service,NEW CONSTRUCTION,"1218 INGRAHAM ST  LOS ANGELES, CA 90017",1,1,WESTLAKE,121,121,SPECIAL NEEDS,Yes,90,08/28/2020,"12,000,000","49,320,540",0,"61,320,540",2023,Single Room Occupancy Housing  Corp. (SRO),SINGLE ROOM OCCUPANCY HOUSING CORPORATION,(213) 229-9640 x1033,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),467,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125047&LutSiteCD=1),C-136386,7/5/2023,-118.26641,34.05255,POINT (-118.26641 34.05255)
